노선번호,노선형태,노선구분,노선유형,기점ID,종점ID,첨두시배차간격,비첨두시대차간격,노선총길이,노선개정번호,노선경유개정번호,관할관청,노선표준ID,운행개시일,운행종료일,BCP_ID,노선명,노선ID
882번,2,0,13,2265,79,133,133,23595.9,1001,1001,구미시,355000173,20110101,20301231,1003,(구 47번)성곡_구미역,88220
52-1번,2,2,11,4308,435,0,0,21584.8,1001,1001,구미시,355002295,20110101,20501231,1003,아포(칠산)_서당_선산터미널,52-122
777번,1,0,11,79,1998,0,0,2364,1001,1001,구미시,355002299,19000101,20800101,1001,버스 차고지행 노선입니다.,77710
380번,1,0,13,80,883,30,30,20524.4,1001,1001,구미시,355002249,20110101,20501231,1003,(구 40번)구미역_형남중_사곡동_순천향병원_황상,38010
91번,2,0,13,132,883,65,65,17274.6,1001,1001,구미시,355000009,20110101,20301231,1003,(구 4번)금오공대_황상,9120
24번,1,0,13,79,1048,67,67,9153.3,1001,1001,구미시,355002265,19000101,20500101,1003,(구 1-3번)구미역_도량1동_문성2지구,2410
175번,1,0,13,82,848,193,193,16367.1,1001,1001,구미시,355000243,20110101,20301231,1003,(구 83번)구미역_해평,17510
21번,3,0,13,332,331,46,46,14109.6,1001,1001,구미시,355002231,20110101,20501231,1003,청마루_경구고_5주공_구미역_5주공_경구고_청마루(신설),2130
140-3번,3,0,13,80,187,7,7,21283.6,1001,1001,구미시,355002135,20110101,20501231,1003,(구 14번)구미역_순천향병원_구미역_원호동,140-330
380-1번,1,0,13,80,618,0,0,27724.7,1001,1001,구미시,355002251,19000101,20500101,1003,(구 40번)구미역_형남중_순천향병원_황상_옥계대백,380-110
140-7번,3,0,13,188,79,0,0,21210.4,1001,1001,구미시,355002139,20110101,20501231,1003,(구 14번)원호동_구미역_순천향병원_구미역,140-730
26번,2,0,13,62,79,59,299,10382.1,1001,1001,구미시,355000106,20110101,20301231,1003,(구 25번)괴평_구미역,2620
380-2번,1,0,13,80,883,0,0,21836.6,1001,1001,구미시,355002253,19000101,20500101,1003,(구 40-1번)구미역_형남중_사곡고_순천향병원_황상,380-210
26-1번,2,0,13,61,187,0,0,13822.7,1001,1001,구미시,355002218,20110101,20501231,1003,(구 25번)괴평_구미역_원호동,26-120
172번,1,0,13,435,80,0,0,16903.7,1001,1001,구미시,355002245,19000101,20500101,1003,선산_고아_원호동_구미역(신설),17210
380-4번,1,0,13,332,883,0,0,28097.9,1001,1001,구미시,355002256,20110101,20501231,1003,(구 40번)봉곡청마루_5주공_구미역_형남중_순천향병원_황상,380-410
173번,1,0,13,435,80,186,186,18990,1001,1001,구미시,355002247,19000101,20500101,1003,선산_고아_5주공_구미역(신설),17310
260번,2,0,12,61,79,264,264,8209.1,1001,1001,구미시,355000271,20110101,20301231,1003,(구 125번)괴평_구미역,26020
410-1번,3,1,11,80,1048,0,0,30234.4,1001,1001,구미시,355002285,20110101,20301231,1001,구미역_임은동_구미역_원호동_문성2지구,410-131
29번,2,0,13,1048,79,73,73,8888.3,1001,1001,구미시,355002292,20110101,20301231,1003,문성2지구_시청후문_구미역,2920
175번,2,0,13,848,79,193,193,16494,1001,1001,구미시,355000244,20110101,20301231,1003,(구 83번)해평_구미역,17520
361번,2,0,13,2295,79,0,0,14613.8,1001,1001,구미시,355000053,20110101,20301231,1003,(구 15-1번)숭오리_상모고-사곡고_구미역,36120
380-2번,2,0,13,884,79,0,0,22043.9,1001,1001,구미시,355002254,19000101,20500101,1003,(구 40-1번)황상_순천향병원_사곡고_형남중_구미역,380-220
174번,1,0,13,435,82,200,200,24423.4,1001,1001,구미시,355000132,20110101,20301231,1003,(구 38번)선산_구미역,17410
174번,2,0,13,81,435,205,205,24413.1,1001,1001,구미시,355000133,20110101,20301231,1003,(구 38번)구미역_선산,17420
71-1번,2,0,13,409,435,178,178,31817.2,1001,1001,구미시,355002091,20110101,20501231,1003,(구 21-1번)안곡1리_선산,71-120
24번,1,3,13,99,1048,0,0,17969.5,1001,1001,구미시,355002289,19000101,20500101,1003,구운초등_구미역_문성2지구,2413
73-3번,2,0,13,4183,435,206,206,30498.6,1001,1001,구미시,355002263,20110101,20501231,1003,(구 31번)소보정류장_해평_선산,73-320
80번,2,0,11,26,1160,54,54,13754.3,1001,1001,구미시,355002320,20110101,20301231,1001,경운대_25번국도_부영아파트_성원아파트_인동차고지,8020
411-7번,3,1,13,80,187,0,0,25944.5,1001,1001,구미시,355000074,20110101,20301231,1003,(구 17번)구미역_임은동_상모고-사곡고-형곡경유_구미역_원호동,411-731
194번,2,0,13,554,79,110,110,11925.4,1001,1001,구미시,355002183,20110101,20501231,1003,(구 44-1번)양호동_신평시장_구미역,19420
194번,1,0,13,80,554,110,110,10071.7,1001,1001,구미시,355002182,20110101,20501231,1003,(구 44-1번)구미역_신평시장_양호동,19410
90번,2,0,13,848,708,45,45,18206.6,1001,1001,구미시,355002112,20110101,20501231,1003,(구 80번)해평_산동파출소_옥계대백_인동,9020
10-2번,3,0,13,2355,2355,0,0,13683.1,1001,1001,구미시,355000337,20110101,20301231,1003,왜관남부정류장_왜관공단_왜관남부정류장,10-230
90번,2,1,13,848,708,0,0,20970.8,1001,1001,구미시,355002113,20110101,20501231,1003,해평_산동_성수1리_4공단입구_인동,9021
74번,2,0,13,848,435,166,166,17499.7,1001,1001,구미시,355000098,20110101,20301231,1003,(구 23번)해평_선산,7420
74-1번,2,1,13,26,435,241,241,26944.1,1001,1001,구미시,355000100,20110101,20301231,1003,(구 23번)경운대_선산,74-121
90번,2,2,13,848,708,0,0,23254.8,1001,1001,구미시,355002114,20110101,20501231,1003,해평_산동파출소_옥계대백_금오공대_인동,9022
70-2번,3,0,13,435,435,61,61,14838.3,1001,1001,구미시,355002089,19000101,20500101,1003,선산_원3리_고아_선산,70-230
740번,2,0,12,848,435,102,102,17523.2,1001,1001,구미시,355000269,20110101,20301231,1003,(구 123번)해평_선산,74020
78번,2,0,13,740,435,0,0,32044.3,1001,1001,구미시,355002105,20110101,20501231,1003,(구 33번)장천_산동파출소_해평_선산,7820
70-2번,3,1,13,435,435,0,0,15850.2,1901,1901,구미시,355000116,20110101,20301231,1003,선산_원리_선산,70-231
80번,1,0,11,1160,26,54,54,13650.6,1001,1001,구미시,355002318,20110101,20301231,1001,인동차고지_성원아파트_부영아파트_25번국도_경운대,8010
80-1번,3,0,11,80,80,0,0,46557.6,1001,1001,구미시,355002319,20110101,20301231,1001,구미역_형곡우방아파트_공단본부_25번국도_경운대_강정_원호_구미역,80-130
11번,2,0,13,2355,79,24,24,27394,1001,1001,구미시,355000017,20110101,20301231,1003,왜관남부정류장_약목_구미역,1120
90번,1,0,13,709,848,43,43,18250.5,1001,1001,구미시,355000553,20110101,20301231,1003,(구 80번)인동_옥계대백_산동파출소_해평,9010
73-3번,1,0,13,435,4182,210,210,31745.2,1001,1001,구미시,355002262,20110101,20501231,1003,(구 31번)선산_해평_소보정류장,73-310
78-4번,2,0,13,746,435,0,0,23407.5,1001,1001,구미시,355002108,19000101,20500101,1003,산동_해평정류장_일선교_선산(신설),78-420
11-1번,3,0,13,2355,2355,230,230,29206.3,1001,1001,구미시,355000338,20110101,20301231,1003,왜관남부정류장_지경리_왜관남부정류장,11-130
380번,2,0,13,884,79,32,32,20689.8,1001,1001,구미시,355002250,19000101,20500101,1003,(구 40번)황상_순천향병원_사곡동_형남중_구미역,38020
74번,1,0,13,435,848,132,132,17488.7,1001,1001,구미시,355000097,20110101,20301231,1003,(구 23번)선산_해평,7410
193번,1,0,11,80,740,137,137,20797.9,1001,1001,구미시,355002178,19000101,20500101,1001,(구 170번)구미역_신평_금오공대_4공단입구_장천,19310
193-2번,1,0,13,80,740,0,0,25966.3,1001,1001,구미시,355002275,20160930,20301231,1003,구미역_신평시장_금오공대_4공단입구_산동농협경제사업소_경운대학교_장천터미널,193-210
900번,1,0,12,80,1029,60,60,17382.2,1001,1001,구미시,355002300,20190101,20200101,1001,구미역_강변코오롱하늘채_옥계휴먼시아_구미코_아사히글라스,90010
890번,2,1,12,848,79,872,872,34163.4,1001,1001,구미시,355000299,20110101,20301231,1003,(구 181번)해평_금오공대경유_구미역,89021
90번,1,1,13,80,848,477,477,29157.1,1001,1001,구미시,355002109,20110101,20501231,1003,구미역_인동_옥계대백_산동파출소_해평,9011
90번,1,2,13,709,848,0,0,21014.7,1001,1001,구미시,355002110,20110101,20501231,1003,인동_4공단입구_성수1리_해평,9012
740번,1,0,12,435,848,120,668,17511.5,1001,1001,구미시,355000268,20110101,20301231,1003,(구 123번)선산_해평,74010
90번,1,3,13,124,848,0,0,31524.7,1001,1001,구미시,355002111,20110101,20501231,1003,구미여고_구미역_해평(학생차량),9013
910-1번,2,1,12,1050,673,127,127,15608.3,1001,1001,구미시,355002317,20110101,20301231,1001,중흥S클래스_골드클래스1차_옥계부영아파트_신평시장_구미역,910-121
193-2번,2,0,13,740,79,0,0,26373.4,1001,1001,구미시,355002276,20160930,20301231,1003,장천터미널_경운대학교_산동농협경제사업소_4공단입구_금오공대_신평농협_구미역,193-220
890번,2,0,12,848,79,69,69,29115.2,1001,1001,구미시,355000298,20110101,20301231,1003,(구 181번)해평_인동_구미역,89020
891-1번,2,1,12,26,79,110,110,25730,1001,1001,구미시,355000303,20110101,20301231,1003,(구 188번)경운대_산동파출소_구미역,891-121
196번,2,0,11,26,79,47,47,20314,1001,1001,구미시,355002278,19000101,19000101,1001,경운대_금오공대_구미역,19620
140-6번,3,0,13,80,331,0,0,29450.5,1001,1001,구미시,355002138,20110101,20501231,1003,(구 14번)구미역_순천향병원_구미역_원호동_문성청솔아파트_청마루,140-630
404-1번,3,0,11,132,132,75,75,15478.6,1001,1001,구미시,355002279,19000101,20500101,1003,금오공대_옥계동부중-중흥S클래스-옥계동부중-금오공대,404-130
26-1번,1,0,13,188,61,0,0,14474.1,1001,1001,구미시,355002217,20110101,20501231,1003,(구 25번)원호동_구미역_다식_괴평,26-110
140-5번,3,0,13,80,790,0,0,23682.4,1001,1001,구미시,355002137,20110101,20501231,1003,(구 14번)구미역_순천향병원_구미역_도량1동_문성청솔아파트,140-530
95번,2,0,13,1063,708,117,117,10501.4,1001,1001,구미시,355002125,20110101,20501231,1003,(구 82번)산동_신당리_4공단입구_인동,9520
95-1번,2,0,13,740,708,232,232,18049.8,1001,1001,구미시,355000238,20110101,20501231,1003,(구81번)장천_경운대학교_산동파출소_4공단입구_인동,95-120
95-1번,2,1,13,26,708,0,0,13271.2,1001,1001,구미시,355002126,20110101,20501231,1003,(구81번)경운대학교_산동파출소_신당_옥계휴먼시아_인동,95-121
410-6번,3,0,13,791,79,0,0,30245.7,1001,1001,구미시,355002204,20110101,20501231,1003,(구 16번)문성청솔아파트_원호_5주공_구미역_임은동_구미역,410-630
95-2번,2,0,13,848,708,0,0,15820.3,1001,1001,구미시,355002129,20110101,20501231,1003,해평정류장_산동_신당리_4공단입구_인동,95-220
410-7번,1,1,13,80,790,0,0,27387.9,1001,1001,구미시,355000529,20110101,20301231,1003,(구 16번)구미역_임은동_구미역_원호동_문성청솔아파트,410-711
891번,2,0,12,614,79,120,120,17943.7,1001,1001,구미시,355000301,20110101,20301231,1003,(구 188번)옥계대백아파트_구미역,89120
140-4번,3,0,13,791,79,0,0,24055.5,1001,1001,구미시,355002136,20110101,20501231,1003,(구 14번)문성청솔아파트_도량1동_구미역_순천향병원_구미역,140-430
70-4번,3,0,13,435,435,250,250,19016,1001,1001,구미시,355000310,20110101,20301231,1003,(구 35-1번)선산_북산1리_선산,70-430
53번,2,0,13,89,4041,37,37,27660.7,1001,1001,구미시,355000180,20110101,20301231,1003,구미터미널건너_5주공_김천,5320
95-1번,1,0,13,709,740,215,215,18013.3,1001,1001,구미시,355000237,20110101,20501231,1003,(구81번)인동_4공단입구_산동파출소_경운대학교_장천,95-110
411-8번,3,0,13,791,79,0,0,27511.9,1001,1001,구미시,355002205,19000101,20500101,1003,(구 17번)문성청솔아파트_원호동_구미역_임은동_구미역,411-830
910-1번,1,1,11,80,1049,127,127,15243.2,1001,1001,구미시,355002316,19000101,21000501,1001,구미역_신평시장_우림필유A_골드클래스1차_중흥S클래스,910-111
72-6번,3,0,13,435,435,0,0,40825.8,1001,1001,구미시,355002102,20110101,20501231,1003,(구 37-1번)선산_옥관_산촌_대원2리_선산,72-630
411-9번,3,0,13,80,790,0,0,30049,1001,1001,구미시,355002206,20110101,20501231,1003,(구 17번)구미역_임은동_구미역_5주공_원호동_문성청솔아파트,411-930
120번,2,0,11,2638,79,120,120,20160,1001,1001,구미시,355002310,20110101,20501231,1001,효성해링턴_장곡중_남구미대교_동국방직_순천향병원_금오시장_구미역,12020
52-1번,2,0,13,4040,435,126,126,28360.7,1001,1001,구미시,355002219,20110101,20501231,1003,김천(구미)역_아포_선산터미널,52-120
70-1번,3,0,13,435,435,98,98,8946.4,1001,1001,구미시,355002220,19000101,20500101,1003,(구 28번)(구 29번)선산_황산_선산,70-130
11-5번,3,0,13,2355,2355,175,175,7961.1,1001,1001,구미시,355000344,20110101,20301231,1003,왜관남부정류장_삼청동_왜관남부정류장,11-530
884-1번,1,1,13,80,26,0,0,29258.8,1001,1001,구미시,355000217,20110101,20501231,1003,(구71번)구미역_신장리_장천터미널_경운대,884-111
884-1번,2,1,13,26,79,136,136,29959.6,1001,1001,구미시,355000218,20110101,20501231,1003,(구71번)경운대_장천터미널_신장리_구미역,884-121
72-6번,3,1,13,435,435,0,0,41367.4,1001,1001,구미시,355002103,20110101,20501231,1003,(구 37-1번)선산_옥관_산촌_대원2리_선산읍사무소_선산,72-631
72-2번,3,0,13,435,435,160,380,40550.6,1001,1001,구미시,355000103,20110101,20301231,1003,(구 24번)선산_낙동_선산,72-230
192번,1,0,12,80,848,148,148,26789,1001,1001,구미시,355000295,20110101,20301231,1003,(구 180번)구미역_금오공대_해평,19210
891번,1,0,12,80,618,118,118,18900.3,1001,1001,구미시,355000300,20110101,20301231,1003,(구 188번)구미역_옥계대백아파트,89110
20-3번,3,0,13,332,331,0,0,16987,1001,1001,구미시,355002084,19000101,20500101,1003,(구 2-1번)봉곡청마루_구미역_5주공_원호_봉곡청마루,20-330
20-2번,3,0,13,332,331,125,125,14314,1001,1001,구미시,355002083,20110101,20501231,1003,(구 2-2번)봉곡청마루_원호_구미역_원호_봉곡청마루,20-230
890번,1,0,12,80,848,63,63,28925.6,1001,1001,구미시,355000297,20110101,20301231,1003,(구 181번)구미역_인동_해평,89010
174-2번,1,1,13,435,80,524,524,28308.6,1001,1001,구미시,355000546,20110101,20301231,1003,(구 38번)선산_횡산_구미역,174-211
72-5번,3,0,13,435,435,0,0,42521.5,1001,1001,구미시,355002101,20110101,20501231,1003,(구 37-1번)선산_구봉_산촌_대원2리_선산,72-530
891-1번,1,1,12,80,26,110,110,26088.7,1001,1001,구미시,355000302,20110101,20301231,1003,(구 188번)구미역_산동_경운대,891-111
884번,2,0,13,740,79,261,261,24112.7,1001,1001,구미시,355000219,20110101,20501231,1003,(구71번)장천터미널_신장리_구미역,88420
160번,2,0,12,2392,79,82,82,14820.5,1001,1001,구미시,355002226,20110101,20301231,1003,(구 115번)인평중학교_구미역,16020
140-2번,3,0,13,80,331,0,0,25485.1,1001,1001,구미시,355002134,20110101,20501231,1003,(구 14번)구미역_순천향병원_구미역_봉곡청마루,140-230
160번,2,1,11,2641,79,135,135,15984.2,1001,1001,구미시,355002141,19000101,20500101,1001,(구 115번)북삼농협_인평중학교_사곡동_구미역,16021
884번,1,0,13,80,740,225,225,23571,1001,1001,구미시,355000216,20110101,20501231,1003,(구71번)구미역_신장리_장천터미널,88410
170번,1,3,12,124,435,0,0,22352.8,1001,1001,구미시,355000265,20110101,20301231,1003,(구 120번)구미여고_구미고_5주공_구미역_선산(학생차량),17013
23번,3,0,13,332,331,205,205,32411.7,1001,1001,구미시,355002085,19000101,20500101,1003,(구 1-2번)봉곡청마루_홈플러스_봉곡청마루,2330
72-4번,3,1,13,435,435,860,860,45612.9,1001,1001,구미시,355002045,20110101,20301231,1003,(구 37번)선산_낙동_산촌_대원_선산,72-431
190번,1,0,13,80,181,94,94,15558.9,1001,1001,구미시,355002260,20110101,20501231,1003,(구14-1번)구미역_신평시장_금오공대_옥계e편한세상,19010
140-1번,3,0,13,332,79,10,10,25776.6,1001,1001,구미시,355002133,20110101,20501231,1003,(구 14번)청마루_구미역_순천향병원_구미역,140-130
190-1번,1,0,13,332,181,0,0,22603.2,1001,1001,구미시,355002266,19000101,20500101,1003,(구 14-1번)봉곡청마루_구미역_금오공대_옥계e편한세상,190-110
20-2번,3,1,13,438,718,0,0,3710.3,1001,1001,구미시,355000004,20110101,20301231,1003,선주고-남통동(학생차량),20-231
85번,3,2,13,740,740,225,225,11472,1001,1001,구미시,355000226,20110101,20301231,1003,(구 74번)장천터미널_묵어리_장천터미널,8532
70번,3,0,13,435,435,196,196,9965.5,1001,1001,구미시,355002043,20110101,20301231,1003,(구 24-1번)선산_선산읍사무소_선산청소년수련관_선산읍사무소_선산(20:50 금요일만 운행),7030
10번,1,1,13,188,2355,0,0,35419.8,1001,1001,구미시,355000502,20110101,20301231,1003,원호동_구미역_인동_왜관,1011
10번,1,0,13,80,2355,48,48,32549.7,1001,1001,구미시,355000014,20110101,20301231,1003,구미역_인동_왜관,1010
90-2번,3,0,11,709,708,0,0,19237.5,1001,1001,구미시,355002116,19000101,20500101,1003,인동_옥계대백_금오공대_인동,90-230
110번,1,0,12,80,2355,159,159,30352.6,1001,1001,구미시,355000251,20110101,20301231,1003,구미역_인동_왜관,11010
174-1번,2,0,13,81,435,0,0,35499.5,1001,1001,구미시,355002155,20110101,20501231,1003,(구 38번)구미역_서당_횡산_선산,174-120
885번,2,0,13,2141,79,111,111,40239.6,1001,1001,구미시,355000202,20110101,20501231,1003,(구61번)동명_구미역,88520
10-1번,3,0,13,2355,2355,158,158,34633.8,1001,1001,구미시,355000335,20110101,20301231,1003,왜관남부정류장_성곡_왜관남부정류장,10-130
10번,2,0,13,2355,79,46,46,32781.3,1001,1001,구미시,355000015,20110101,20301231,1003,왜관_인동_구미역,1020
110번,2,0,12,2355,79,158,158,30269.7,1001,1001,구미시,355000252,20110101,20301231,1003,왜관_인동_구미역,11020
160번,1,0,12,80,2391,92,92,14502.1,1001,1001,구미시,355002225,20110101,20301231,1003,(구 115번)구미역_인평중학교,16010
160번,1,1,11,80,2640,135,135,15310.9,1001,1001,구미시,355002140,19000101,20500101,1001,(구 115번)구미역_사곡동_인평중학교_북삼농협,16011
160-1번,1,0,11,332,2391,0,0,22075.4,1001,1001,구미시,355002142,20110101,20501231,1001,(구 115번)봉곡청마루_5주공_구미역_상모동_인평중,160-110
101번,3,0,13,995,958,114,114,29666.1,1001,1001,구미시,355002065,20110101,20301231,1003,공단1동행정복지센터_1공단순환_공단1동행정복지센터,10130
881-1번,1,3,13,188,2440,208,208,38543.9,1001,1001,구미시,355000199,20110101,20501231,1003,(구 60번)원호_구미역_장천_천평,881-113
883번,2,0,13,740,79,106,106,25297.8,1001,1001,구미시,355000221,20110101,20501231,1003,(구72번)장천터미널_송학리_구미역,88320
883-1번,2,1,13,26,79,183,183,31144.7,1001,1001,구미시,355000223,20110101,20501231,1003,(구72번)경운대_장천터미널_송학리_구미역,883-121
884-2번,1,0,13,80,740,0,0,37687.1,1001,1001,구미시,355002208,20110101,20501231,1003,(구71번)구미역_인동_신장리_장천터미널_천평_장천,884-210
885-1번,1,1,13,80,2140,0,0,45726.9,1001,1001,구미시,355000201,20110101,20501231,1003,(구61번)구미역_장천_동명,885-111
883번,1,0,13,80,740,124,124,24800.3,1001,1001,구미시,355000220,20110101,20501231,1003,(구72번)구미역_송학리_장천터미널,88310
883-1번,1,1,13,80,26,163,163,31206.5,1001,1001,구미시,355000222,20110101,20501231,1003,(구72번)구미역_송학리_장천터미널_경운대,883-111
190번,2,0,13,181,79,76,76,15338.4,1001,1001,구미시,355002261,20110101,20501231,1003,(구14-1번)옥계e편한세상_금오공대_신평중학교_구미역,19020
190-3번,2,0,13,132,79,63,63,10262.4,1001,1001,구미시,355002173,20110101,20301231,1003,(구 14-1번)금오공대_구미역,190-320
192번,2,0,12,848,79,140,140,27254.5,1001,1001,구미시,355000296,20110101,20301231,1003,(구 180번)해평_금오공대_구미역,19220
193번,2,0,11,740,79,137,137,21247.4,1001,1001,구미시,355002179,19000101,20500101,1001,(구 170번)장천_4공단입구_금오공대_신평_구미역,19320
195번,2,0,13,543,79,79,79,18791.6,1001,1001,구미시,355002272,20110101,20301231,1003,아사히글라스_4공단입구_금오공대_공단본부_구미역,19520
51-1번,2,0,13,132,4041,181,181,44546.3,1001,1001,구미시,355000315,20110101,20301231,1003,금오공대_의동_김천,51-120
557번,2,0,12,132,4041,123,123,33687.1,1001,1001,구미시,355000309,20110101,20301231,1003,금오공대_김천,55720
182번,2,0,13,884,79,156,156,16772.3,1001,1001,구미시,355000150,20110101,20301231,1003,(구 42번)황상_전자공고(임수동)_구미역,18220
57번,2,0,13,132,4041,81,81,34650.8,1001,1001,구미시,355000192,20110101,20301231,1003,금오공대_5주공_김천,5720
25번,2,0,13,1048,79,54,54,9283.4,1001,1001,구미시,355002215,20110101,20501231,1003,(구 1-3번)문성2지구_도량1동_구미역,2520
57번,2,1,13,131,4041,146,146,36018.9,1001,1001,구미시,355002312,20110101,20301231,1003,금오공대_5주공_제석리_김천,5721
900번,2,0,13,543,79,60,60,17403.6,1001,1001,구미시,355002301,20190101,20200101,1001,아사히글라스_구미코_옥계휴먼시아_강변코오롱하늘채_구미역,90020
93번,1,0,13,709,554,109,109,10655.7,1001,1001,구미시,355002121,20110101,20501231,1003,(구 44번)인동_금오공대_양호동,9310
190-2번,1,0,13,188,181,0,0,18652.5,1001,1001,구미시,355002268,19000101,20500101,1003,(구 14-1번)원호_구미역_금오공대_옥계e편한세상,190-210
380-3번,2,0,13,884,79,0,0,22227.9,1001,1001,구미시,355002255,20110101,20501231,1003,(구 40-2번)황상_사곡동_금오고_형남중_구미역,380-320
380-3번,2,1,13,884,187,0,0,25308.3,1001,1001,구미시,355002259,19000101,20500101,1003,(구 40-2번)황상_사곡동_금오고_형남중_구미역_원호,380-321
74-3번,2,2,13,848,435,0,0,18402.1,1001,1001,구미시,355000102,20110101,20301231,1003,(구 23번)해평_독동_선산,74-322
140번,3,0,13,80,79,24,24,18116.8,1001,1001,구미시,355002130,20110101,20301231,1003,(구 14번)구미역_순천향병원_구미역,14030
140번,3,1,13,124,79,30,30,21210.4,1001,1001,구미시,355002131,20110101,20501231,1003,(구 14번)구미여고_구미역_순천향병원_구미역(학생차량),14031
188번,3,0,12,80,79,68,68,36060.2,1001,1001,구미시,355002290,19000101,21000101,1003,(구 143-1번)구미역_순천향병원_구평휴먼시아_구미역,18830
190-3번,1,0,13,80,132,68,68,10015.6,1001,1001,구미시,355002172,20110101,20301231,1003,(구 14-1번)구미역_금오공대,190-310
83번,3,0,13,740,740,134,134,20038.5,1901,1901,구미시,355000230,20110101,20301231,1003,(구 76번)장천터미널_오로리_장천터미널,8330
404번,3,1,13,132,132,67,67,26648,1001,1001,구미시,355002072,20110101,20301231,1003,금오공대_옥계우미린_공단순환_금오공대,40431
910번,1,0,12,80,1049,110,110,16439.6,1001,1001,구미시,355002302,20110101,20301231,1001,구미역_공단본부_옥계부영아파트_골드클래스1차_중흥S클래스,91010
666번,1,0,11,79,1999,0,0,4519.3,1001,1001,구미시,355002314,20190101,20301231,1001,CNG 충전소행,66610
73-2번,3,0,13,435,435,133,133,29559.3,1001,1001,구미시,355001562,20110101,20301231,1003,(구 22-1번)선산_다곡리_선산,73-230
78-3번,1,0,13,435,740,200,200,48258.2,1001,1001,구미시,355000126,20110101,20301231,1003,(구 34번)선산_다곡_장천터미널,78-310
96번,3,0,13,1064,1063,207,207,25203.8,1001,1001,구미시,355000245,20110101,20301231,1003,(구 84번)산동_송산_산동,9630
95번,1,0,13,709,368,90,90,14648.5,1001,1001,구미시,355002223,20110101,20501231,1003,(구 82번)인동_4공단입구_신당리_산동농공단지입구,9510
94번,2,0,13,519,708,183,183,12719.9,1001,1001,구미시,355002124,20110101,20501231,1003,(구 46번)신장리_금전동_양포동행정복지센터_인동,9420
185-2번,1,0,12,188,883,21,21,16095.6,1001,1001,구미시,355002237,20110101,20501231,1003,원호동_구미역_신평_비산_황상동(신설),185-210
185-1번,1,0,12,332,883,0,0,20575.5,1001,1001,구미시,355002164,20110101,20501231,1001,봉곡청마루_도량2동_5주공_구미역_신평_비산_황상동(신설),185-110
185번,1,1,13,124,883,0,0,16095.6,1001,1001,구미시,355002162,20110101,20501231,1001,구미여고_구미역_신평_비산_황상(학생차량),18511
185번,1,0,11,80,883,39,39,13002,1001,1001,구미시,355002161,20110101,20501231,1001,구미역_신평_비산_인동_황상(신설),18510
185-2번,2,0,12,884,187,22,22,16410.2,1001,1001,구미시,355002165,20110101,20501231,1001,황상동_비산_신평_구미역_원호동(신설),185-220
411-3번,3,9,13,332,79,409,409,28522.1,1001,1001,구미시,355002047,20110101,20301231,1003,(구 17번)청마루_원호동_구미역_임은동_구미역,411-339
411-1번,3,6,13,188,79,307,307,25176.3,1001,1001,구미시,355000536,20110101,20301231,1003,(구 17번)원호동_구미역_임은동_구미역,411-136
411-6번,3,5,13,80,187,0,0,25071.7,1001,1001,구미시,355000535,20110101,20301231,1003,(구 17번)구미역_임은동_구미역_원호동,411-635
2000번,1,0,11,1997,1998,0,0,73,1001,1001,구미시,355002315,19000101,21000101,1001,시험운행중인 노선입니다.,200010
411번,3,0,13,80,79,52,52,21719.2,1001,1001,구미시,355000069,20110101,20301231,1003,(구 17번)구미역_임은동_구미역,41130
5200번,2,0,12,550,4041,158,158,40078,1001,1001,구미시,355002006,19000101,20300101,1003,양포동행정복지센터_금오공대_구미터미널앞_김천(구미)역_김천,520020
5000번,2,0,12,89,4041,61,61,30173,1001,1001,구미시,355002002,19000101,20200101,1003,구미터미널_김천(구미)역_김천,500020
5100번,2,0,12,884,4041,125,125,39902.7,1001,1001,구미시,355002004,19000101,20601001,1003,황상동_공단본부_구미터미널_김천(구미)역_김천,510020
360번,2,0,13,2295,79,32,32,15666.6,1001,1001,구미시,355000047,20110101,20301231,1003,(구 15번)숭오리_형곡중_구미역,36020
161번,1,0,13,80,607,134,134,13204.5,1001,1001,구미시,355002227,20110101,20501231,1003,(구 6-1번)구미역_사곡_오태1동,16110
11-3번,3,0,13,2355,2355,184,184,27010.6,1001,1001,구미시,355000341,20110101,20301231,1003,왜관남부정류장_숭오리_왜관남부정류장,11-330
360-1번,2,0,13,2295,331,0,0,22803.8,1001,1001,구미시,355002194,20110101,20501231,1003,(구 15번)숭오리_구미역_도량5주공_봉곡청마루,360-120
410번,1,2,13,124,79,0,0,25120.9,1001,1001,구미시,355000530,20110101,20501231,1003,(구 16번)구미여고_구미역_임은동_구미역(학생차량),41012
410-1번,3,5,13,80,187,15,15,25043.2,1001,1001,구미시,355000524,20110101,20301231,1003,(구 16번)구미역_임은동_구미역_원호동,410-135
340번,3,2,13,124,651,0,0,8983,1001,1001,구미시,355002185,20110101,20501231,1003,(구 13번)구미여고_형남중_우방3차(학생차량),34032
881번,2,0,13,2440,79,67,67,24132.7,1001,1001,구미시,355000195,20110101,20501231,1003,(구 60번)천평_구미역,88120
410-5번,3,0,13,80,187,0,0,27812.7,1001,1001,구미시,355002203,20110101,20501231,1003,(구 16번)구미역_임은동_구미역_5주공_원호동,410-530
410-4번,3,0,13,188,79,0,0,27753.5,1001,1001,구미시,355002202,20110101,20501231,1003,(구 16번)원호동_5주공_구미역_임은동_구미역,410-430
303-1번,3,3,13,884,883,0,0,16248.6,1001,1001,구미시,355002304,19000101,20300101,1001,황상동_신동_인동행적복지센터미경유_황상동,303-133
