노선번호,노선형태,노선구분,노선유형,기점ID,종점ID,첨두시배차간격,비첨두시대차간격,노선총길이,노선개정번호,노선경유개정번호,관할관청,노선표준ID,운행개시일,운행종료일,BCP_ID,노선명,노선ID
380-1번,2,0,13,614,79,0,0,27837.6,1001,1001,구미시,355002252,19000101,20500101,1003,(구 40번)옥계대백_황상_순천향병원_사곡동_형남중_구미역,380-120
91번,1,0,13,884,132,65,65,16603.4,1001,1001,구미시,355000008,20110101,20301231,1003,(구 4번)황상_금오공대,9110
52-1번,1,0,13,435,4040,130,130,28189,1001,1001,구미시,355002239,20110101,20501231,1003,선산_고아_아포역_김천(구미)역,52-110
52-1번,1,1,13,435,4307,112,112,18964,1001,1001,구미시,355002234,19000101,20500101,1003,선산_고아신촌_아포(칠산),52-111
52-1번,1,2,13,435,4040,0,0,32780.8,1001,1001,구미시,355002240,19000101,20500101,1003,선산_지2동_아포역_김천(구미)역,52-112
111번,1,0,12,80,2355,21,21,25860.8,1001,1001,구미시,355000253,20110101,20301231,1003,구미역_약목_왜관남부정류장,11110
140번,3,2,13,124,79,0,0,29880.7,1001,1001,구미시,355002132,20110101,20501231,1003,(구 14번)구미여고_청마루_도봉초_구미역_순천향병원_구미역(학생차량),14032
891-2번,2,0,12,614,79,0,0,15466.4,1001,1001,구미시,355002258,20110101,20501231,1003,(구 180-1번)옥계대백_금오공대_신평1동_구미역,891-220
111번,2,0,12,2355,79,21,21,27847,1001,1001,구미시,355000254,20110101,20301231,1003,왜관남부정류장_약목_구미역,11120
161번,2,0,13,607,79,134,134,13424.3,1001,1001,구미시,355000205,19000101,20500101,1003,(구 6-1번)오태1동_상모고등학교_구미역,16120
11번,2,1,13,2355,79,300,300,29219.5,1001,1001,구미시,355000019,20110101,20301231,1003,왜관남부정류장_약목_현대아파트_구미역,1121
11번,1,1,13,80,2355,0,0,27442,1001,1001,구미시,355000018,20110101,20301231,1003,구미역_현대아파트_왜관남부정류장,1111
11번,1,0,13,80,2355,29,29,26031.7,1001,1001,구미시,355000016,20110101,20301231,1003,구미역_약목_왜관남부정류장,1110
11번,1,5,11,80,2355,0,0,22132.9,1001,1001,구미시,355002284,20110101,20301231,1001,구미역_(공단미경유)_약목_삼주A_왜관남부정류장,1115
11번,1,3,13,80,2355,0,0,22111.3,1001,1001,구미시,355000021,20110101,20301231,1003,구미역_왜관남부정류장_(공단미경유),1113
11번,1,4,11,80,2355,90,90,26053.3,1001,1001,구미시,355002283,20110101,20301231,1001,구미역_약목_삼주A_왜관남부정류장,1114
171-2번,1,0,13,435,79,0,0,24170.2,1001,1001,구미시,355002147,20110101,20501231,1003,(구 20-2번)선산_형남중_구미역,171-210
171-3번,1,0,13,435,187,0,0,26799.6,1001,1001,구미시,355002149,20110101,20501231,1003,(구 20-2번)선산_형남중_구미역_원호동,171-310
162번,1,0,13,80,2426,163,163,24545.4,1001,1001,구미시,355002010,20110101,20301231,1003,(구 62번)구미역_지경리,16210
181번,2,0,13,884,79,48,48,18132.2,1001,1001,구미시,355000148,20110101,20301231,1003,(구 41번)황상_형곡중_구미역,18120
186번,2,0,12,884,79,134,134,16801.9,1001,1001,구미시,355002269,20110101,20301231,1003,(구 141번)황상_형곡중_구미역,18620
187-1번,3,0,11,332,79,0,0,44129.7,1001,1001,구미시,355002168,19000101,20500101,1001,(구 143번)봉곡청마루_구미역_신평_비산_구평휴먼시아_형곡중_구미역,187-130
162-1번,1,1,13,80,2426,136,136,21631,1001,1001,구미시,355000204,20110101,20301231,1003,(구 62번)구미역_지경리_(숭오리미경유),162-111
191번,2,0,13,181,79,76,76,20164,1001,1001,구미시,355002243,20110101,20501231,1003,(구13-1번)옥계e편한세상_4공단_금오공대_형곡동_구미역,19120
162번,2,0,13,2427,79,182,182,24485.9,1001,1001,구미시,355002241,20110101,20501231,1003,지경리_구미역,16220
360-2번,2,2,13,2295,187,200,200,18747,1001,1001,구미시,355000051,20110101,20301231,1003,(구 15번)숭오리_형곡중_구미역_원호동,360-222
